Rank,Team,GM,W-L,OPP PTS,OPP PPG
123,UT Arlington (WAC),32,11-21,"2,190",68.4
309,UT Martin (OVC),33,19-14,"2,489",75.4
159,Utah St. (Mountain West),34,26-8,"2,370",69.7
120,Utah Valley (WAC),33,25-8,"2,251",68.2
30,Utah (Pac-12),32,17-15,"2,043",63.8
127,UTEP (C-USA),32,14-18,"2,192",68.5
340,UTRGV (WAC),32,15-17,"2,502",78.2
326,UTSA (C-USA),32,10-22,"2,450",76.6
272,Valparaiso (MVC),32,11-21,"2,355",73.6
238,Vanderbilt (SEC),34,20-14,"2,451",72.1
23,VCU (Atlantic 10),34,27-7,"2,139",62.9
70,Vermont (America East),33,23-10,"2,198",66.6
111,Villanova (Big East),33,17-16,"2,239",67.8
162,Virginia Tech (ACC),33,19-14,"2,302",69.8
