Rank,Team,GM,W-L,FGM,FGA,FG%
85,Howard (MEAC),34,22-12,908,"1,971",46.1
180,Idaho St. (Big Sky),32,11-21,794,"1,785",44.5
39,Idaho (Big Sky),32,10-22,824,"1,747",47.2
246,Illinois St. (MVC),32,11-21,737,"1,699",43.4
155,Illinois (Big Ten),32,20-12,854,"1,894",45.1
19,Indiana St. (MVC),34,22-12,951,"1,972",48.2
10,Indiana (Big Ten),33,22-11,939,"1,919",48.9
86,Iona (MAAC),34,27-7,957,"2,078",46.1
158,Iowa St. (Big 12),32,19-13,820,"1,822",45
125,Iowa (Big Ten),32,19-13,913,"2,009",45.4
106,IUPUI (Horizon),32,5-27,786,"1,718",45.8
